0;SELECT count(*) FROM head WHERE age  >  56;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.руководители ГДЕ возраст > 56
1;SELECT name ,  born_state ,  age FROM head ORDER BY age;ВЫБРАТЬ наименование , штатрождения , возраст ИЗ справочник.руководители УПОРЯДОЧИТЬ ПО возраст
2;SELECT creation ,  name ,  budget_in_billions FROM department;ВЫБРАТЬ датасоздания , наименование , бюджетвмлрд ИЗ справочник.департаменты
3;SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department;ВЫБРАТЬ МАКСИМУМ(бюджетвмлрд) , МИНИМУМ(бюджетвмлрд) ИЗ справочник.департаменты
4;SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15;ВЫБРАТЬ СРЕДНЕЕ(количествосотрудников) ИЗ справочник.департаменты ГДЕ рейтинг МЕЖДУ 10 И 15
5;SELECT name FROM head WHERE born_state != 'California';"ВЫБРАТЬ наименование ИЗ справочник.руководители ГДЕ штатрождения <> ""California"""
6;SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama';"ВЫБРАТЬ РАЗЛИЧНЫЕ T1.датасоздания ИЗ справочник.департаменты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.руководство КАК T2 ПО T1.ссылка = T2.департамент ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.руководители КАК T3 ПО T2.руководитель = T3.ссылка ГДЕ T3.штатрождения = ""Alabama"""
7;SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3;ВЫБРАТЬ штатрождения ИЗ справочник.руководители СГРУППИРОВАТЬ ПО штатрождения ИМЕЮЩИЕ КОЛИЧЕСТВО(*) >= 3
8;SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 датасоздания ИЗ справочник.департаменты СГРУППИРОВАТЬ ПО датасоздания УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
9;SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes';"ВЫБРАТЬ T1.наименование , T1.количествосотрудников ИЗ справочник.департаменты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.руководство КАК T2 ПО T1.ссылка = T2.департамент ГДЕ T2.временныйио = ""Yes"""
10;SELECT count(DISTINCT temporary_acting) FROM management;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ временныйио) ИЗ регистрсведений.руководство
12;SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes';"ВЫБРАТЬ РАЗЛИЧНЫЕ T1.возраст ИЗ регистрсведений.руководство КАК T2 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.руководители КАК T1 ПО T1.ссылка = T2.руководитель ГДЕ T2.временныйио = ""Yes"""
14;SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1;ВЫБРАТЬ T1.ссылка , T1.наименование , КОЛИЧЕСТВО(*) ИЗ регистрсведений.руководство КАК T2 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.департаменты КАК T1 ПО T1.ссылка = T2.департамент СГРУППИРОВАТЬ ПО T1.ссылка ИМЕЮЩИЕ КОЛИЧЕСТВО(*) > 1
15;SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%';"ВЫБРАТЬ ссылка , наименование ИЗ справочник.руководители ГДЕ наименование ПОДОБНО ""%Ha%"""
16;SELECT count(*) FROM farm;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.фермы
17;SELECT count(*) FROM farm;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.фермы
18;SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC;ВЫБРАТЬ лошадейвсего ИЗ справочник.фермы УПОРЯДОЧИТЬ ПО лошадейвсего ВОЗР
19;SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC;ВЫБРАТЬ лошадейвсего ИЗ справочник.фермы УПОРЯДОЧИТЬ ПО лошадейвсего ВОЗР
20;SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens';"ВЫБРАТЬ организаторы ИЗ справочник.соревнованиефермеров ГДЕ тема <> ""Aliens"""
21;SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens';"ВЫБРАТЬ организаторы ИЗ справочник.соревнованиефермеров ГДЕ тема <> ""Aliens"""
22;SELECT Theme FROM farm_competition ORDER BY YEAR ASC;ВЫБРАТЬ тема ИЗ справочник.соревнованиефермеров УПОРЯДОЧИТЬ ПО год ВОЗР
23;SELECT Theme FROM farm_competition ORDER BY YEAR ASC;ВЫБРАТЬ тема ИЗ справочник.соревнованиефермеров УПОРЯДОЧИТЬ ПО год ВОЗР
24;SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000;ВЫБРАТЬ СРЕДНЕЕ(рабочихлошадей) ИЗ справочник.фермы ГДЕ лошадейвсего > 5000
25;SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000;ВЫБРАТЬ СРЕДНЕЕ(рабочихлошадей) ИЗ справочник.фермы ГДЕ лошадейвсего > 5000
26;SELECT max(Cows) ,  min(Cows) FROM farm;ВЫБРАТЬ МАКСИМУМ(коровы) , МИНИМУМ(коровы) ИЗ справочник.фермы
27;SELECT max(Cows) ,  min(Cows) FROM farm;ВЫБРАТЬ МАКСИМУМ(коровы) , МИНИМУМ(коровы) ИЗ справочник.фермы
28;SELECT count(DISTINCT Status) FROM city;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ кодстраны) ИЗ справочник.города
29;SELECT count(DISTINCT Status) FROM city;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ кодстраны) ИЗ справочник.города
30;SELECT Official_Name FROM city ORDER BY Population DESC;ВЫБРАТЬ наименование ИЗ справочник.города УПОРЯДОЧИТЬ ПО численность УБЫВ
31;SELECT Official_Name FROM city ORDER BY Population DESC;ВЫБРАТЬ наименование ИЗ справочник.города УПОРЯДОЧИТЬ ПО численность УБЫВ
32;SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 наименование , кодстраны ИЗ справочник.города УПОРЯДОЧИТЬ ПО численность УБЫВ
33;SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 наименование , кодстраны ИЗ справочник.города УПОРЯДОЧИТЬ ПО численность УБЫВ
34;SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID;ВЫБРАТЬ T2.год , T1.наименование ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения
35;SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID;ВЫБРАТЬ T2.год , T1.наименование ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения
40;SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000;ВЫБРАТЬ T2.тема ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения ГДЕ T1.численность > 1000
41;SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000;ВЫБРАТЬ T2.тема ИЗ справочник.города КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.соревнованиефермеров КАК T2 ПО T1.ссылка = T2.городпроведения ГДЕ T1.численность > 1000
