;query;query_ru
0;SELECT count(*) FROM head WHERE age  >  56;ВЫБРАТЬ КОЛИЧЕСТВО(*) ИЗ справочник.руководители ГДЕ возраст > 56
1;SELECT name ,  born_state ,  age FROM head ORDER BY age;ВЫБРАТЬ наименование , штатрождения , возраст ИЗ справочник.руководители УПОРЯДОЧИТЬ ПО возраст
2;SELECT creation ,  name ,  budget_in_billions FROM department;ВЫБРАТЬ датасоздания , наименование , бюджетвмлрд ИЗ справочник.департаменты
3;SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department;ВЫБРАТЬ МАКСИМУМ(бюджетвмлрд) , МИНИМУМ(бюджетвмлрд) ИЗ справочник.департаменты
4;SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15;ВЫБРАТЬ СРЕДНЕЕ(количествосотрудников) ИЗ справочник.департаменты ГДЕ рейтинг МЕЖДУ 10 И 15
5;SELECT name FROM head WHERE born_state != 'California';"ВЫБРАТЬ наименование ИЗ справочник.руководители ГДЕ штатрождения <> ""California"""
6;SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama';"ВЫБРАТЬ РАЗЛИЧНЫЕ T1.датасоздания ИЗ справочник.департаменты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.руководство КАК T2 ПО T1.ссылка = T2.департамент ВНУТРЕННЕЕ СОЕДИНЕНИЕ справочник.руководители КАК T3 ПО T2.руководитель = T3.ссылка ГДЕ T3.штатрождения = ""Alabama"""
7;SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3;ВЫБРАТЬ штатрождения ИЗ справочник.руководители СГРУППИРОВАТЬ ПО штатрождения ИМЕЮЩИЕ КОЛИЧЕСТВО(*) >= 3
8;SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1;ВЫБРАТЬ ПЕРВЫЕ 1 датасоздания ИЗ справочник.департаменты СГРУППИРОВАТЬ ПО датасоздания УПОРЯДОЧИТЬ ПО КОЛИЧЕСТВО(*) УБЫВ
9;SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes';"ВЫБРАТЬ T1.наименование , T1.количествосотрудников ИЗ справочник.департаменты КАК T1 ВНУТРЕННЕЕ СОЕДИНЕНИЕ регистрсведений.руководство КАК T2 ПО T1.ссылка = T2.департамент ГДЕ T2.временныйио = ""Yes"""
10;SELECT count(DISTINCT temporary_acting) FROM management;ВЫБРАТЬ КОЛИЧЕСТВО(РАЗЛИЧНЫЕ временныйио) ИЗ регистрсведений.руководство
