0;question;question_ru
1;List the name, born state and age of the heads of departments ordered by age.;Перечислите имена, фамилии, место рождения и возраст глав департаментов в порядке возраста.
2;List the creation year, name and budget of each department.;Укажите год создания, название и бюджет каждого отдела.
3;What are the maximum and minimum budget of the departments?;Каковы максимальный и минимальный бюджет факультетов?
4;What is the average number of employees of the departments whose rank is between 10 and 15?;Каково среднее число сотрудников отделов, чей ранг находится в диапазоне от 10 до 15?
5;What are the names of the heads who are born outside the California state?;Как называются главы, родившиеся за пределами штата Калифорния?
6;What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?;Каковы годы создания отделов, которыми руководит секретарь, родившийся в штате Алабама?
7;What are the names of the states where at least 3 heads were born?;Как называются штаты, в которых родилось не менее 3 голов?
8;In which year were most departments established?;В каком году было создано большинство факультетов?
9;Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?;"Покажите фамилии и количество сотрудников в отделах, которыми руководят руководители, чье значение ""Временно исполняющий обязанности"" равно ""Да""?"
10;How many acting statuses are there?;Сколько существует актерских статусов?
12;What are the distinct ages of the heads who are acting?;Каков возраст действующих лиц?
14;Which department has more than 1 head at a time? List the id, name and the number of heads.;В каком отделе одновременно работает более 1 руководителя? Укажите идентификатор, имя и количество руководителей.
15;Which head's name has the substring 'Ha'? List the id and name.;В имени какого руководителя есть подстрока 'Ha'? Перечислите идентификатор и имя.
16;How many farms are there?;Сколько здесь ферм?
17;Count the number of farms.;Подсчитайте количество ферм.
18;List the total number of horses on farms in ascending order.;Перечислите общее количество лошадей на фермах в порядке возрастания.
19;What is the total horses record for each farm, sorted ascending?;Какова общая численность лошадей на каждой ферме, отсортированная по возрастанию?
20;"What are the hosts of competitions whose theme is not ""Aliens""?";"Каковы ведущие конкурсов, тема которых не ""Пришельцы""?"
21;Return the hosts of competitions for which the theme is not Aliens?;Верните ведущих конкурсов, для которых тема не Чужие?
22;What are the themes of farm competitions sorted by year in ascending order?;Какие темы фермерских соревнований отсортированы по годам в порядке возрастания?
23;Return the themes of farm competitions, sorted by year ascending.;Возвращает темы фермерских конкурсов, отсортированные по годам по возрастанию.
24;What is the average number of working horses of farms with more than 5000 total number of horses?;Каково среднее количество рабочих лошадей в хозяйствах с общим поголовьем более 5000 голов?
25;Give the average number of working horses on farms with more than 5000 total horses.;Укажите среднее количество рабочих лошадей на фермах с общим количеством лошадей более 5000.
26;What are the maximum and minimum number of cows across all farms.;Каково максимальное и минимальное количество коров на всех фермах.
27;Return the maximum and minimum number of cows across all farms.;Верните максимальное и минимальное количество коров на всех фермах.
28;How many different statuses do cities have?;Сколько различных статусов есть у городов?
29;Count the number of different statuses.;Подсчитайте количество различных статусов.
30;List official names of cities in descending order of population.;Перечислите официальные названия городов в порядке убывания численности населения.
31;What are the official names of cities, ordered descending by population?;Как официально называются города в порядке убывания численности населения?
32;List the official name and status of the city with the largest population.;Укажите официальное название и статус города с наибольшим населением.
33;What is the official name and status of the city with the most residents?;Каково официальное название и статус города с наибольшим количеством жителей?
34;Show the years and the official names of the host cities of competitions.;Укажите годы и официальные названия городов, принимающих соревнования.
35;Give the years and official names of the cities of each competition.;Назовите годы и официальные названия городов, в которых проводились соревнования.
40;Please show the themes of competitions with host cities having populations larger than 1000.;Пожалуйста, покажите темы соревнований, в которых принимающие города имеют население более 1000 человек.
41;What are the themes of competitions that have corresponding host cities with more than 1000 residents?;Каковы темы конкурсов, в которых участвуют соответствующие города с населением более 1000 человек?
42;Please show the different statuses of cities and the average population of cities with each status.;Пожалуйста, покажите различные статусы городов и среднее население городов с каждым статусом.
43;What are the statuses and average populations of each city?;Каковы статус и средняя численность населения каждого города?
44;Please show the different statuses, ordered by the number of cities that have each.;Пожалуйста, покажите различные статусы, упорядоченные по количеству городов, в которых есть каждый из них.
45;Return the different statuses of cities, ascending by frequency.;Возвращает различные статусы городов, по возрастанию частоты.
46;List the most common type of Status across cities.;Перечислите наиболее распространенные типы статусов в разных городах.
47;What is the most common status across all cities?;Какой статус наиболее распространен во всех городах?
52;Find the official names of cities with population bigger than 1500 or smaller than 500.;Найдите официальные названия городов с населением более 1500 и менее 500 человек.
53;What are the official names of cities that have population over 1500 or less than 500?;Как официально называются города с населением более 1500 и менее 500 человек?
56;which course has most number of registered students?;На каком курсе зарегистрировано наибольшее количество студентов?
57;What is the name of the course with the most registered students?;Как называется курс, в котором зарегистрировано больше всего студентов?
58;what is id of students who registered some courses but the least number of courses in these students?;каков идентификатор студентов, которые зарегистрировали несколько курсов, но наименьшее количество курсов у этих студентов?
59;What are the ids of the students who registered for some courses but had the least number of courses for all students?;Каковы идентификаторы студентов, которые зарегистрировались на несколько курсов, но при этом прошли наименьшее количество курсов среди всех студентов?
60;what are the first name and last name of all candidates?;какие имена и фамилии у всех кандидатов?
61;What are the first and last names of all the candidates?;Назовите имена и фамилии всех кандидатов.
64;List the id of students who attended some courses?;Перечислите идентификаторы студентов, которые посещали некоторые курсы?
65;What are the ids of all students who have attended at least one course?;Каковы идентификаторы всех студентов, посетивших хотя бы один курс?
66;What are the ids of all students for courses and what are the names of those courses?;Каковы идентификаторы всех студентов для курсов и каковы названия этих курсов?
67;What is detail of the student who most recently registered course?;Какова информация о студенте, который последний раз регистрировался на курс?
68;What details do we have on the students who registered for courses most recently?;Какие у нас есть данные о студентах, которые зарегистрировались на курсы в последнее время?
69;How many students attend course English?;Сколько студентов посещают курс английского языка?
70;How many students are attending English courses?;Сколько студентов посещают курсы английского языка?
71;How many courses do the student whose id is 171 attend?;Сколько курсов посещает студент, чей идентификатор 171?
72;How many courses does the student with id 171 actually attend?;Сколько курсов посещает студент с номером 171?
73;Find id of the candidate whose email is stanley.monahan@example.org?;Найдите идентификатор кандидата, чей адрес электронной почты stanley.monahan@example.org?
74;What is the id of the candidate whose email is stanley.monahan@example.org?;Каков идентификатор кандидата, чей адрес электронной почты stanley.monahan@example.org?
75;Find id of the candidate who most recently accessed the course?;Найдите идентификатор кандидата, который последний раз заходил на курс?
76;What is the id of the candidate who most recently accessed the course?;Каков идентификатор кандидата, который последний раз заходил на курс?
77;What is detail of the student who registered the most number of courses?;Какова информация о студенте, зарегистрировавшем наибольшее количество предметов?
78;What are the details of the student who registered for the most number of courses?;Каковы данные студента, зарегистрировавшегося на наибольшее количество курсов?
79;List the id of students who registered some courses and the number of their registered courses?;Перечислите идентификаторы студентов, зарегистрировавших несколько курсов, и номера зарегистрированных ими курсов?
80;For every student who is registered for some course, how many courses are they registered for?;Для каждого студента, зарегистрированного на какой-либо курс, сколько курсов зарегистрировано?
83;"Find id of candidates whose assessment code is ""Pass""?";"Найдите идентификатор кандидатов, чей код оценки ""Pass""?"
84;What are the ids of the candidates that have an outcome code of Pass?;Каковы идентификаторы кандидатов, получивших код результата Pass?
85;"Find the cell mobile number of the candidates whose assessment code is ""Fail""?";"Найдите номер мобильного телефона кандидатов, чей код оценки ""Fail""?"
86;"What are the cell phone numbers of the candidates that received an assessment code of ""Fail""?";"Каковы номера мобильных телефонов кандидатов, получивших код оценки ""Fail""?"
87;What are the id of students who registered course 301?;Каковы идентификационные данные студентов, зарегистрировавшихся на курс 301?
88;What are the ids of the students who registered for course 301?;Каковы идентификаторы студентов, зарегистрировавшихся на курс 301?
89;What is the id of the student who most recently registered course 301?;Каков идентификатор студента, который в последний раз регистрировал курс 301?
90;What are the ids of the students who registered for course 301 most recently?;Каковы идентификаторы студентов, которые зарегистрировались на курс 301 в последнее время?
91;Find distinct cities of addresses of people?;Найти отдельные города по адресам людей?
92;What are the different cities where people live?;В каких городах живут люди?
93;Find distinct cities of address of students?;Найдите разные города, в которых проживают студенты?
94;What are the different cities where students live?;В каких городах живут студенты?
95;List the names of courses in alphabetical order?;Перечислите названия курсов в алфавитном порядке?
96;What are the names of the courses in alphabetical order?;Как называются курсы в алфавитном порядке?
97;List the first names of people in alphabetical order?;Перечислите имена людей в алфавитном порядке?
98;What are the first names of the people in alphabetical order?;Как называются имена людей в алфавитном порядке?
101;Find the id of courses which are registered or attended by student whose id is 121?;Найдите идентификатор курсов, на которые зарегистрирован или посещает студент, чей идентификатор 121?
102;What are the ids of the courses that are registered or attended by the student whose id is 121?;Каковы идентификаторы курсов, на которые зарегистрирован или которые посещает студент, чей идентификатор 121?
105;List the id of students who registered course statistics in the order of registration date.;Перечислите идентификаторы студентов, зарегистрировавших статистику курса, в порядке убывания даты регистрации.
106;What are the ids of the students who registered course statistics by order of registration date?;Каковы идентификаторы студентов, зарегистрировавших статистику курса, в порядке убывания даты регистрации?
107;List the id of students who attended  statistics courses in the order of attendance date.;Перечислите идентификаторы студентов, посещавших курсы статистики, в порядке убывания даты посещения.
108;What are the ids of the students who attended courses in the statistics department in order of attendance date.;Назовите идентификаторы студентов, посещавших курсы на кафедре статистики, в порядке убывания даты посещения.
109;Give me the dates when the max temperature was higher than 85.;Назовите даты, когда максимальная температура была выше 85.
110;What are the dates with a maximum temperature higher than 85?;В каких числах максимальная температура выше 85?
111;What are the names of stations that have latitude lower than 37.5?;Как называются станции, широта которых ниже 37,5?
112;What are the names of all stations with a latitude smaller than 37.5?;Как называются все станции с широтой меньше 37,5?
113;For each city, return the highest latitude among its stations.;Для каждого города верните самую высокую широту среди его станций.
114;For each city, what is the highest latitude for its stations?;Для каждого города, какая самая высокая широта для его станций?
117;What is the average latitude and longitude of stations located in San Jose city?;Какова средняя широта и долгота станций, расположенных в городе Сан-Хосе?
