0;question;question_ru
1;List the name, born state and age of the heads of departments ordered by age.;Перечислите имя, родившее состояние и возраст руководителей департаментов, заказанных по возрасту.
2;List the creation year, name and budget of each department.;Перечислите год создания, название и бюджет каждого отделения.
3;What are the maximum and minimum budget of the departments?;Каков максимальный и минимальный бюджет департаментов?
4;What is the average number of employees of the departments whose rank is between 10 and 15?;Какое среднее число сотрудников департаментов, чье звание составляет от 10 до 15 лет?
5;What are the names of the heads who are born outside the California state?;Как имена голов, которые родились за пределами штата Калифорния?
6;What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?;Каковы явные годы создания департаментов, управляемых секретарем, родившимся в штате «Алабама»?
7;What are the names of the states where at least 3 heads were born?;Каковы имена штатов, где родились не менее 3 голов?
8;In which year were most departments established?;В каком году было создано большинство департаментов?
9;Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?;Покажите имя и количество сотрудников для департаментов, управляемых руководителями, чье временное исполнительное значение - «да»?
10;How many acting statuses are there?;Сколько существует статусов актерского мастерства?
12;What are the distinct ages of the heads who are acting?;Каковы явные возрасты голов, которые играют?
14;Which department has more than 1 head at a time? List the id, name and the number of heads.;В каком отделе более 1 головы за раз? Перечислите идентификатор, имя и количество голов.
15;Which head's name has the substring 'Ha'? List the id and name.;У какого имени головы подстроение «ха»? Перечислите идентификатор и имя.
16;How many farms are there?;Сколько там ферм?
17;Count the number of farms.;Подсчитайте количество ферм.
18;List the total number of horses on farms in ascending order.;Перечислите общее количество лошадей на фермах в порядке возрастания.
19;What is the total horses record for each farm, sorted ascending?;Какова общая запись лошадей для каждой фермы, отсортирована?
20;"What are the hosts of competitions whose theme is not ""Aliens""?";Каковы хозяева соревнования, чья тема не является «инопланетянами»?
21;Return the hosts of competitions for which the theme is not Aliens?;Верните хозяев соревнований, для которых тема не инопланетяне?
22;What are the themes of farm competitions sorted by year in ascending order?;Каковы темы соревнований на ферме, отсортированные по году в порядке возрастания?
23;Return the themes of farm competitions, sorted by year ascending.;Верните темы соревнований на ферме, отсортированные по годовым восходящим.
24;What is the average number of working horses of farms with more than 5000 total number of horses?;Какое среднее количество рабочих лошадей ферм с более чем 5000 лошадей?
25;Give the average number of working horses on farms with more than 5000 total horses.;Дайте среднее количество рабочих лошадей на фермах с более чем 5000 лошадей.
26;What are the maximum and minimum number of cows across all farms.;Какое максимальное и минимальное количество коров на всех фермах.
27;Return the maximum and minimum number of cows across all farms.;Вернуть максимальное и минимальное количество коров на всех фермах.
28;How many different statuses do cities have?;Сколько разных статусов?
29;Count the number of different statuses.;Подсчитайте количество разных статусов.
30;List official names of cities in descending order of population.;Перечислите официальные имена городов в порядке убывания населения.
31;What are the official names of cities, ordered descending by population?;Каковы официальные названия городов, приказанные спуститься по населению?
32;List the official name and status of the city with the largest population.;Перечислите официальное название и статус города с самым большим населением.
33;What is the official name and status of the city with the most residents?;Какое официальное название и статус города с большинством жителей?
34;Show the years and the official names of the host cities of competitions.;Покажите годы и официальные имена принимающих городов соревнований.
35;Give the years and official names of the cities of each competition.;Дайте годы и официальные названия городов каждого соревнования.
40;Please show the themes of competitions with host cities having populations larger than 1000.;Пожалуйста, покажите темы соревнований с хозяевами, в которых население больше 1000.
41;What are the themes of competitions that have corresponding host cities with more than 1000 residents?;Каковы темы соревнований, в которых есть соответствующие города -хозяева с более чем 1000 жителей?
42;Please show the different statuses of cities and the average population of cities with each status.;Пожалуйста, покажите различные статусы городов и среднее население городов с каждым статусом.
43;What are the statuses and average populations of each city?;Каковы статусы и средние популяции каждого города?
44;Please show the different statuses, ordered by the number of cities that have each.;Пожалуйста, покажите различные статусы, заказанные количеством городов, в которых есть каждый.
45;Return the different statuses of cities, ascending by frequency.;Вернуть различные статусы городов, восходящие по частоте.
46;List the most common type of Status across cities.;Перечислите наиболее распространенный тип статуса в разных городах.
47;What is the most common status across all cities?;Какой самый распространенный статус во всех городах?
52;Find the official names of cities with population bigger than 1500 or smaller than 500.;Найдите официальные названия городов с населением, превышающим 1500 или меньше, чем 500.
53;What are the official names of cities that have population over 1500 or less than 500?;Каковы официальные названия городов, в которых население более 1500 или менее 500?
56;which course has most number of registered students?;В каком курсе большинство зарегистрированных студентов?
57;What is the name of the course with the most registered students?;Как называется курс с наиболее зарегистрированными студентами?
58;what is id of students who registered some courses but the least number of courses in these students?;Что такое удостоверение личности студентов, которые зарегистрировали некоторые курсы, но наименьшее количество курсов в этих студентах?
59;What are the ids of the students who registered for some courses but had the least number of courses for all students?;Каковы идентификаторы студентов, которые зарегистрировались на некоторые курсы, но имели наименьшее количество курсов для всех студентов?
60;what are the first name and last name of all candidates?;Какое имя и фамилия всех кандидатов?
61;What are the first and last names of all the candidates?;Каковы первые и фамилии всех кандидатов?
64;List the id of students who attended some courses?;Перечислите удостоверение личности студентов, которые посетили некоторые курсы?
65;What are the ids of all students who have attended at least one course?;Каковы идентификаторы всех студентов, которые посетили хотя бы один курс?
66;What are the ids of all students for courses and what are the names of those courses?;Каковы идентификаторы всех студентов для курсов и как имена этих курсов?
67;What is detail of the student who most recently registered course?;Каковы подробности студента, который недавно зарегистрировал курс?
68;What details do we have on the students who registered for courses most recently?;Какие детали у нас есть на студентах, которые зарегистрировались на курсы совсем недавно?
69;How many students attend course English?;Сколько студентов посещают курс английского?
70;How many students are attending English courses?;Сколько студентов посещают курсы английского языка?
71;How many courses do the student whose id is 171 attend?;Сколько курсов посещает студент, чей идентификатор посещает 171?
72;How many courses does the student with id 171 actually attend?;Сколько курсов на самом деле посещает студент с ID 171?
73;Find id of the candidate whose email is stanley.monahan@example.org?;Найдите удостоверение личности кандидата, чье электронное письмо - stanley.monahan@example.org?
74;What is the id of the candidate whose email is stanley.monahan@example.org?;Что такое идентификатор кандидата, чье электронное письмо - stanley.monahan@example.org?
75;Find id of the candidate who most recently accessed the course?;Найти удостоверение личности кандидата, который недавно получил доступ к курсу?
76;What is the id of the candidate who most recently accessed the course?;Что такое идентификатор кандидата, который недавно получил доступ к курсу?
77;What is detail of the student who registered the most number of courses?;Каковы подробности студента, который зарегистрировал наибольшее количество курсов?
78;What are the details of the student who registered for the most number of courses?;Каковы подробности студента, который зарегистрировался на наибольшее количество курсов?
79;List the id of students who registered some courses and the number of their registered courses?;Перечислите идентификатор студентов, которые зарегистрировали некоторые курсы и количество их зарегистрированных курсов?
80;For every student who is registered for some course, how many courses are they registered for?;Для каждого студента, который зарегистрирован на какой -то курс, сколько курсов они зарегистрированы?
83;"Find id of candidates whose assessment code is ""Pass""?";Найти идентификатор кандидатов, чей код оценки - «проход»?
