0;question
1;List the name, born state and age of the heads of departments ordered by age.
2;List the creation year, name and budget of each department.
3;What are the maximum and minimum budget of the departments?
4;What is the average number of employees of the departments whose rank is between 10 and 15?
5;What are the names of the heads who are born outside the California state?
6;What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?
7;What are the names of the states where at least 3 heads were born?
8;In which year were most departments established?
9;Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?
10;How many acting statuses are there?
12;What are the distinct ages of the heads who are acting?
14;Which department has more than 1 head at a time? List the id, name and the number of heads.
15;Which head's name has the substring 'Ha'? List the id and name.
16;How many farms are there?
17;Count the number of farms.
18;List the total number of horses on farms in ascending order.
19;What is the total horses record for each farm, sorted ascending?
20;"What are the hosts of competitions whose theme is not ""Aliens""?"
21;Return the hosts of competitions for which the theme is not Aliens?
22;What are the themes of farm competitions sorted by year in ascending order?
23;Return the themes of farm competitions, sorted by year ascending.
24;What is the average number of working horses of farms with more than 5000 total number of horses?
25;Give the average number of working horses on farms with more than 5000 total horses.
26;What are the maximum and minimum number of cows across all farms.
27;Return the maximum and minimum number of cows across all farms.
28;How many different statuses do cities have?
29;Count the number of different statuses.
30;List official names of cities in descending order of population.
31;What are the official names of cities, ordered descending by population?
32;List the official name and status of the city with the largest population.
33;What is the official name and status of the city with the most residents?
34;Show the years and the official names of the host cities of competitions.
35;Give the years and official names of the cities of each competition.
40;Please show the themes of competitions with host cities having populations larger than 1000.
41;What are the themes of competitions that have corresponding host cities with more than 1000 residents?
42;Please show the different statuses of cities and the average population of cities with each status.
43;What are the statuses and average populations of each city?
44;Please show the different statuses, ordered by the number of cities that have each.
45;Return the different statuses of cities, ascending by frequency.
46;List the most common type of Status across cities.
47;What is the most common status across all cities?
52;Find the official names of cities with population bigger than 1500 or smaller than 500.
53;What are the official names of cities that have population over 1500 or less than 500?
56;which course has most number of registered students?
57;What is the name of the course with the most registered students?
58;what is id of students who registered some courses but the least number of courses in these students?
59;What are the ids of the students who registered for some courses but had the least number of courses for all students?
60;what are the first name and last name of all candidates?
61;What are the first and last names of all the candidates?
64;List the id of students who attended some courses?
65;What are the ids of all students who have attended at least one course?
66;What are the ids of all students for courses and what are the names of those courses?
67;What is detail of the student who most recently registered course?
68;What details do we have on the students who registered for courses most recently?
69;How many students attend course English?
70;How many students are attending English courses?
71;How many courses do the student whose id is 171 attend?
72;How many courses does the student with id 171 actually attend?
73;Find id of the candidate whose email is stanley.monahan@example.org?
74;What is the id of the candidate whose email is stanley.monahan@example.org?
75;Find id of the candidate who most recently accessed the course?
76;What is the id of the candidate who most recently accessed the course?
77;What is detail of the student who registered the most number of courses?
78;What are the details of the student who registered for the most number of courses?
79;List the id of students who registered some courses and the number of their registered courses?
80;For every student who is registered for some course, how many courses are they registered for?
83;"Find id of candidates whose assessment code is ""Pass""?"
84;What are the ids of the candidates that have an outcome code of Pass?
85;"Find the cell mobile number of the candidates whose assessment code is ""Fail""?"
