db_id;schema
farm;Справочник.Города : Ссылка (Справочник.Города) , Наименование (Строка) , КодСтраны (Строка) , Район (Строка) , Численность (Число) | Справочник.Фермы : Ссылка (Справочник.Фермы) , Год (Число) , ЛошадейВсего (Число) , РабочихЛошадей (Число) , КрупногоРогатогоСкота (Число) , Волы (Число) , Быки (Число) , Коровы (Число) , Свиньи (Число) , ОвцыИКозы (Число) | Справочник.СоревнованиеФермеров : Ссылка (Справочник.СоревнованиеФермеров) , Год (Число) , Тема (Строка) , ГородПроведения (Справочник.Города) , Организаторы (Строка) | РегистрСведений.РезультатыСоревнованийФермеров : Соревнование (Справочник.СоревнованиеФермеров) , Ферма (Справочник.Фермы) , Место (Число)
city_record;Справочник.Города : Ссылка (Справочник.Города) , Наименование (Строка) , НазваниеИероглифами (Строка) , Пиньинь (Строка) , НаселениеРегиона (Число) , ВВП (Число) | Справочник.Матчи : Ссылка (Справочник.Матчи) , Дата (Дата) , МестоПроведения (Строка) , Счет (Строка) , Результат (Строка) , Турнир (Строка) | РегистрСведений.ТемпературыПоМесяцам : Город (Справочник.Города) , Январь (Число) , Февраль (Число) , Март (Число) , Апрель (Число) , Июнь (Число) , Июль (Число) , Август (Число) , Сентябрь (Число) , Октябрь (Число) , Ноябрь (Число) , Декабрь (Число) | РегистрСведений.ГородаПриемаМатчей : Год (Число) , Матч (Справочник.Матчи) , ГородПриема (Строка)
perpetrator;Справочник.Люди : Ссылка (Справочник.Люди) , Наименование (Строка) , Рост (Число) , Вес (Число) , РоднойГород (Строка) | РегистрСведений.Происшествия : Ссылка (РегистрСведений.Происшествия) , Человек (Справочник.Люди) , Дата (Дата) , Год (Число) , Место (Строка) , Страна (Строка) , Погибло (Число) , Ранено (Число)
college_2;Справочник.Аудитории : Здание (Строка) , НомерАудитории (Строка) , Вместимость (Число) | Справочник.Факультеты : Наименование (Строка) , Здание (Строка) , Бюджет (Число) | Справочник.Курсы : Ссылка (Справочник.Курсы) , Наименование (Строка) , Факультет (Справочник.Факультеты) , Кредиты (Число) | Справочник.Преподаватели : Ссылка (Справочник.Преподаватели) , Наименование (Строка) , Факультет (Справочник.Факультеты) , Зарплата (Число) | РегистрСведений.ГруппыКурсов : Курс (Справочник.Курсы) , Группа (Строка) , Семестр (Строка) , Год (Число) , Здание (Строка) , Аудитория (Строка) , ИнтервалВремени (Строка) | РегистрСведений.ПреподавателиКурсов : Преподаватель (Справочник.Преподаватели) , Курс (Справочник.Курсы) , Группа (Строка) , Семестр (Строка) , Год (Число) | Справочник.Студенты : Ссылка (Справочник.Студенты) , Наименование (Строка) , Факультет (Справочник.Факультеты) , КредитовНабрано (Число) | РегистрСведений.ЗаписиНаКурсы : Студент (Справочник.Студенты) , Курс (Справочник.Курсы) , Группа (Строка) , Семестр (Строка) , Год (Число) , Оценка (Строка) | РегистрСведений.НазначениеНаставников : Студент (Справочник.Студенты) , Наставник (Справочник.Преподаватели) | Справочник.ВременныеИнтервалы : Ссылка (Справочник.ВременныеИнтервалы) , День (Строка) , ЧасНачала (Число) , МинутаНачала (Число) , ЧасОкончания (Число) , МинутаОкончания (Число) | РегистрСведений.Пререквизиты : Курс (Справочник.Курсы) , КурсПререквизит (Справочник.Курсы)
flight_company;Справочник.Аэропорты : Ссылка (Справочник.Аэропорты) , Город (Строка) , Страна (Строка) , КодIATA (Строка) , КодICAO (Строка) , Наименование (Строка) | Справочник.КомпанииОператоры : Ссылка (Справочник.КомпанииОператоры) , Наименование (Строка) , Тип (Строка) , ОсновнаяДеятельность (Строка) , СтранаРегистрации (Строка) , ДоляВГруппе (Число) | РегистрСведений.Рейсы : Ссылка (РегистрСведений.Рейсы) , НомерРейса (Строка) , Дата (Дата) , Пилот (Строка) , Скорость (Число) , Высота (Число) , Аэропорт (Справочник.Аэропорты) , КомпанияОператор (Справочник.КомпанииОператоры)
icfp_1;Справочник.Институты : Ссылка (Справочник.Институты) , Наименование (Строка) , Страна (Строка) | Справочник.Авторы : Ссылка (Справочник.Авторы) , Фамилия (Строка) , Имя (Строка) | Справочник.Публикации : Ссылка (Справочник.Публикации) , Наименование (Строка) | РегистрСведений.АвторыПубликаций : Автор (Справочник.Авторы) , Институт (Справочник.Институты) , Публикация (Справочник.Публикации) , ПорядокАвторства (Число)
body_builder;Справочник.Люди : Ссылка (Справочник.Люди) , Наименование (Строка) , Рост (Число) , Вес (Число) , ДатаРождения (Дата) , МестоРождения (Строка) | РегистрСведений.РезультатыБодибилдеров : Ссылка (РегистрСведений.РезультатыБодибилдеров) , Спортсмен (Справочник.Люди) , Рывок (Число) , Толчок (Число) , ИтоговыйРезультат (Число)
storm_record;Справочник.Штормы : Ссылка (Справочник.Штормы) , Наименование (Строка) , ПериодАктивности (Строка) , МаксимальнаяСкорость (Число) , УщербВСШАМлн (Число) , КоличествоПогибших (Число) | Справочник.Регионы : Ссылка (Справочник.Регионы) , КодРегиона (Строка) , Наименование (Строка) | РегистрСведений.ПораженныеРегионы : Регион (Справочник.Регионы) , Шторм (Справочник.Штормы) , ЧислоПораженныхГородов (Число)
pilot_record;Справочник.Самолеты : Ссылка (Справочник.Самолеты) , ГодЗаказа (Число) , Производитель (Строка) , Модель (Строка) , СерияПарка (Строка) , СиловаяУстановка (Строка) , ТипТоплива (Строка) | Справочник.Пилоты : Ссылка (Справочник.Пилоты) , Наименование (Строка) , Ранг (Число) , Возраст (Число) , Национальность (Строка) , Должность (Строка) , ГодПрисоединения (Число) , Команда (Строка) | РегистрСведений.РейсыПилотов : Ссылка (РегистрСведений.РейсыПилотов) , Пилот (Справочник.Пилоты) , Самолет (Справочник.Самолеты) , Дата (Дата)
race_track;Справочник.Треки : Ссылка (Справочник.Треки) , Наименование (Строка) , Местоположение (Строка) , Вместимость (Число) , ГодОткрытия (Число) | Справочник.Гонки : Ссылка (Справочник.Гонки) , Наименование (Строка) , Класс (Строка) , ДатаПроведения (Дата) , Трек (Справочник.Треки)
